City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
São Félix do Xingu,-6.6447,-51.995,21.04,95,51,0.17,BR,1611639330
Santa Rosa,14.3122,121.1114,31.67,70,75,3.09,PH,1611639331
Goderich,43.7501,-81.7165,-3.0,80,100,3.6,CA,1611639332
Vila Velha,-20.3297,-40.2925,23.0,94,40,1.54,BR,1611639333
Rabo de Peixe,37.8,-25.5833,17.22,88,75,6.17,PT,1611639335
Soyo,-6.1349,12.3689,26.29,83,99,3.49,AO,1611639336
Cayenne,4.9333,-52.3333,26.0,89,75,3.09,GF,1611639337
Saldanha,-33.0117,17.9442,16.0,82,21,2.57,ZA,1611639338
Santa Inês,-3.6667,-45.38,23.25,97,100,1.03,BR,1611639339
Hasaki,35.7333,140.8333,12.22,66,75,2.06,JP,1611639340
Slave Lake,55.2834,-114.769,-19.0,78,90,7.72,CA,1611639342
Christchurch,-43.5333,172.6333,36.0,13,28,6.69,NZ,1611639116
Kibakwe,-6.7167,36.3667,20.75,85,99,1.04,TZ,1611639344
Lüderitz,-26.6481,15.1594,19.37,69,93,8.64,NA,1611639345
San Andrés,12.5847,-81.7006,27.0,78,20,4.12,CO,1611639346
Pangnirtung,66.1451,-65.7125,-14.0,77,0,1.25,CA,1611639347
San Quintín,30.4833,-115.95,11.53,59,68,12.04,MX,1611639349
Union,40.6334,-74.2663,1.0,44,90,1.64,US,1611639350
Dudinka,69.4058,86.1778,-36.23,80,100,7.86,RU,1611639351
Florida,28.7505,-82.5001,16.11,100,90,3.37,US,1611639114
Madikeri,12.4167,75.7333,25.62,31,59,2.03,IN,1611639353
Esperance,-33.8667,121.9,24.0,50,9,7.2,AU,1611639354
Takoradze,4.8845,-1.7554,24.95,84,17,1.57,GH,1611639226
Lokomotivnyy,53.0118,60.5684,-4.1,97,95,6.01,RU,1611639357
Khāsh,28.2211,61.2158,10.62,29,0,1.4,IR,1611639358
Mogok,22.9167,96.5,24.02,33,0,1.23,MM,1611639359
Mikkeli,61.6886,27.2723,0.0,93,90,1.03,FI,1611639360
Jiuquan,39.7432,98.5174,-3.35,82,39,1.5,CN,1611639226
Betafo,-19.8333,46.85,22.89,70,92,1.06,MG,1611639362
Aitape,-3.1374,142.3475,29.4,69,54,2.22,PG,1611639364
Alofi,-19.0595,-169.9187,23.0,100,100,3.09,NU,1611639365
Yulara,-25.2406,130.9889,32.0,45,90,6.69,AU,1611639366
Kvarkeno,52.0833,59.725,-2.18,98,100,5.21,RU,1611639367
Salinópolis,-0.6136,-47.3561,25.73,85,85,3.05,BR,1611639368
Chunhuhub,19.55,-88.6833,21.75,95,39,1.83,MX,1611639369
Dunedin,-45.8742,170.5036,25.56,46,100,7.6,NZ,1611639335
Nioro,13.35,-15.75,19.18,23,0,1.91,GM,1611639372
Upernavik,72.7868,-56.1549,-14.87,89,6,3.02,GL,1611639373
Airai,-8.9266,125.4092,20.51,93,81,2.16,TL,1611639374
Balkanabat,39.5108,54.3671,7.54,50,0,6.55,TM,1611639375
Syumsi,57.1111,51.6149,-4.97,97,100,3.1,RU,1611639376
Loukhi,66.0764,33.0381,-2.94,99,100,1.06,RU,1611639378
Baruun-Urt,46.6806,113.2792,-17.58,83,0,7.69,MN,1611639379
Miraflores,19.2167,-98.8083,17.78,48,0,4.02,MX,1611639380
Gunjur,13.2019,-16.7339,20.0,49,1,1.54,GM,1611639381
Wajima,37.4,136.9,10.0,57,0,2.57,JP,1611639103
Buala,-8.145,159.5921,29.47,68,90,4.24,SB,1611639383
Acarí,-15.4311,-74.6158,22.26,69,32,0.83,PE,1611639384
Banfora,10.6333,-4.7667,19.2,24,44,1.56,BF,1611639386
Mandera,3.9366,41.867,26.02,46,0,5.13,KE,1611639387
Tshikapa,-6.4167,20.8,21.01,90,99,0.24,CD,1611639388
Juneau,58.3019,-134.4197,-2.0,86,75,2.17,US,1611639389
Sydney,-33.8679,151.2073,35.0,33,0,8.75,AU,1611639261
Edd,13.9297,41.6925,27.02,33,19,3.01,ER,1611639391
Cockburn Town,21.4612,-71.1419,24.27,79,68,9.5,TC,1611639393
Shimokizukuri,40.8061,140.3861,5.56,75,75,2.06,JP,1611639394
Vung Tau,10.346,107.0843,26.17,71,56,4.86,VN,1611639253
Mahon,39.8885,4.2658,9.0,57,20,9.77,ES,1611639396
Biltine,14.5333,20.9167,20.8,19,14,5.83,TD,1611639397
Ishigaki,24.3448,124.1572,22.0,68,20,3.6,JP,1611639398
Morant Bay,17.8815,-76.4093,22.78,86,53,0.45,JM,1611639399
Raduzhny,62.0961,77.475,-35.58,82,100,6.54,RU,1611639401
San Patricio,28.017,-97.5169,21.0,46,90,6.17,US,1611639402
Hulan Ergi,47.2042,123.6333,-9.81,76,0,6.19,CN,1611639403
Thayetmyo,19.3167,95.1833,34.72,19,0,0.7,MM,1611639404
Acapulco de Juárez,16.8634,-99.8901,23.79,83,0,1.77,MX,1611639405
Port Shepstone,-30.7414,30.455,24.08,68,98,1.49,ZA,1611639406
Tautira,-17.7333,-149.15,28.0,61,75,4.63,PF,1611639408
La Libertad,-2.2333,-80.9,25.23,82,77,4.81,EC,1611639409
Raymond,43.9015,-70.4703,-5.0,65,51,0.45,US,1611639410
Road Town,18.4167,-64.6167,24.44,87,0,1.79,VG,1611639411
Yar-Sale,66.8333,70.8333,-28.36,87,100,3.8,RU,1611639412
Iwanai,42.9744,140.5089,2.26,84,100,2.6,JP,1611639413
Eséka,3.65,10.7667,22.95,93,77,0.3,CM,1611639415
Chiredzi,-21.05,31.6667,24.64,80,95,2.09,ZW,1611639416
Tigil',57.8,158.6667,-21.75,91,51,1.14,RU,1611639417
Avera,33.194,-82.5271,19.0,88,1,4.63,US,1611639418
Muzhi,65.3667,64.6667,-22.54,91,100,2.1,RU,1611639419
Yangi Marg`ilon,40.4272,71.7189,1.0,60,37,1.03,UZ,1611639420
Chapais,49.7834,-74.8492,-18.0,85,90,1.54,CA,1611639421
Biak,-0.9131,122.8766,26.19,76,100,1.87,ID,1611639423
Darhan,49.4867,105.9228,-17.11,86,96,1.68,MN,1611639424
Daru,-9.0763,143.2092,30.95,67,88,3.38,PG,1611639425
Onokhoy,51.932,108.0747,-15.0,51,20,2.0,RU,1611639426
Leh,34.1667,77.5833,-12.39,64,26,0.84,IN,1611639427
Banda Aceh,5.5577,95.3222,29.73,65,63,3.43,ID,1611639428
Alyangula,-13.8483,136.4192,31.0,70,40,1.54,AU,1611639430
Sørland,67.667,12.6934,0.0,93,75,5.66,NO,1611639431
Fort Nelson,58.8053,-122.7002,-19.0,78,90,1.54,CA,1611639432
Boyolangu,-8.1181,111.8935,29.9,68,52,3.87,ID,1611639433
Datong,40.0936,113.2914,-1.73,58,0,6.25,CN,1611639434
Vila Franca do Campo,37.7167,-25.4333,17.22,88,75,6.17,PT,1611639435
Akureyri,65.6835,-18.0878,-6.0,79,90,6.69,IS,1611639437
Ulladulla,-35.35,150.4667,34.0,29,40,2.57,AU,1611639438
Ust'-Barguzin,53.45,108.9833,-18.25,89,100,2.33,RU,1611639439
Pampierstad,-27.7832,24.6877,20.38,81,100,5.35,ZA,1611639440
Zyryanovsk,49.7386,84.2719,-16.86,91,100,0.54,KZ,1611639441
Cooma,-36.2333,149.1333,22.0,64,90,6.69,AU,1611639442
Sfântu Gheorghe,45.8667,25.7833,-0.56,86,100,0.82,RO,1611639444
Carballo,43.213,-8.691,13.33,94,99,2.18,ES,1611639445
Shimoda,34.6667,138.95,13.0,67,75,5.14,JP,1611639185
Novonukutskiy,53.7002,102.7117,-24.12,87,100,3.04,RU,1611639447
Reguengos de Monsaraz,38.4253,-7.5349,14.0,100,75,3.09,PT,1611639448
Ocean City,39.2776,-74.5746,1.67,55,90,1.54,US,1611639449
Qinhuangdao,39.9317,119.5883,5.55,46,0,4.16,CN,1611639450
Muskegon,43.3,-86.1334,-1.67,64,90,7.2,US,1611639452
Kargasok,59.0556,80.8572,-39.06,81,78,4.67,RU,1611639453
Auki,-8.7676,160.7034,28.54,68,100,2.72,SB,1611639454
Kayseri Province,38.737,35.4968,-2.0,93,75,3.0,TR,1611639455
Quanzhou,24.9139,118.5858,23.0,49,0,3.0,CN,1611639167
Nago,26.5881,127.9761,25.0,57,1,4.63,JP,1611639311
Medicine Hat,50.0501,-110.6683,-14.44,78,90,2.06,CA,1611639459
Cherskiy,68.75,161.3,-38.47,82,39,1.7,RU,1611639460
Santa Maria,-29.6842,-53.8069,22.16,85,0,1.86,BR,1611639461
North Bend,43.4065,-124.2243,2.22,100,20,4.63,US,1611639462
El Alto,-4.2714,-81.2147,22.89,75,86,5.61,PE,1611639464
Geraldton,-28.7667,114.6,23.09,62,21,8.47,AU,1611639174
Souillac,-20.5167,57.5167,28.0,69,20,1.54,MU,1611639467
La Ronge,55.1001,-105.2842,-36.0,68,0,0.69,CA,1611639468
Mossamedes,-15.1961,12.1522,23.74,75,50,1.21,AO,1611639469
Westport,41.1415,-73.3579,0.0,43,1,2.57,US,1611639470
Juiz de Fora,-21.7642,-43.3503,18.89,94,91,0.58,BR,1611639471
Lagos,6.5833,3.75,23.67,90,50,1.53,NG,1611639473
Half Moon Bay,37.4636,-122.4286,8.33,71,90,8.75,US,1611639474
Nelson Bay,-32.7167,152.15,38.33,22,8,4.63,AU,1611639475
Tuatapere,-46.1333,167.6833,22.4,46,100,5.28,NZ,1611639476
Grindavik,63.8424,-22.4338,-2.0,59,90,12.86,IS,1611639477
Xining,36.6167,101.7667,-3.14,73,100,1.26,CN,1611639340
Kieta,-6.2167,155.6333,29.79,66,53,3.46,PG,1611639480
Kalabo,-14.97,22.6814,20.33,88,100,3.22,ZM,1611639481
Sambava,-14.2667,50.1667,28.67,70,34,0.52,MG,1611639482
Wawa,9.9022,4.4192,20.3,29,31,2.18,NG,1611639483
Manama,26.2154,50.5832,18.0,82,1,2.06,BH,1611639244
Labuan,5.2767,115.2417,29.0,79,40,1.54,MY,1611639485
Wexford,52.3342,-6.4575,6.67,98,100,4.02,IE,1611639487
Kyren,51.6828,102.1408,-18.09,83,100,0.89,RU,1611639488
Boquira,-12.8231,-42.7306,19.94,81,32,2.95,BR,1611639489
Bathsheba,13.2167,-59.5167,25.0,73,20,7.2,BB,1611639490
Ogbomosho,8.133,4.25,19.14,63,47,0.74,NG,1611639491
Longyearbyen,78.2186,15.6401,-11.0,62,20,6.69,SJ,1611639492
Diu,20.7141,70.9822,25.95,17,1,2.79,IN,1611639369
Shebalino,51.2917,85.6772,-13.27,83,100,1.44,RU,1611639495
Kalat,29.0225,66.5916,7.23,31,0,1.28,PK,1611639496
Hare Bay,48.8499,-54.0148,-1.0,100,90,5.66,CA,1611639497
Kirkuk,35.4681,44.3922,11.95,42,72,1.19,IQ,1611639498
Tabou,4.423,-7.3528,24.76,88,29,2.12,CI,1611639499
Ahipara,-35.1667,173.1667,21.8,76,13,4.61,NZ,1611639500
Byron Bay,-28.65,153.6167,30.0,65,0,7.72,AU,1611639502
Isangel,-19.55,169.2667,29.0,74,75,4.12,VU,1611639503
Saint-Joseph,-21.3667,55.6167,30.0,58,0,3.6,RE,1611639504
Susuman,62.7833,148.1667,-28.12,83,100,1.58,RU,1611639505
Plattling,48.7833,12.8667,-1.67,88,69,3.69,DE,1611639506
Arenápolis,-14.4503,-56.8461,21.94,83,100,0.97,BR,1611639507
Tocopilla,-22.092,-70.1979,19.9,62,16,3.6,CL,1611639509
Arroyo de la Encomienda,41.6096,-4.7969,10.0,93,90,1.88,ES,1611639510
Hastings,50.8552,0.5729,2.78,70,54,0.45,GB,1611639511
Okhotsk,59.3833,143.3,-27.17,79,9,4.12,RU,1611639512
Maniitsoq,65.4167,-52.9,-11.07,82,63,2.74,GL,1611639514
Meulaboh,4.1363,96.1285,29.32,68,41,3.34,ID,1611639515
Cartagena del Chairá,1.3349,-74.8429,21.11,96,98,0.53,CO,1611639516
Macao,22.2006,113.5461,22.0,73,20,2.57,MO,1611639000
Svodín,47.9105,18.4997,0.56,89,53,1.79,SK,1611639518
Hong Kong,22.2855,114.1577,22.22,70,21,0.45,HK,1611639513
Don Luan,11.5333,106.9167,32.64,44,63,1.23,VN,1611639520
Zaysan,47.4667,84.8667,-15.76,93,100,1.06,KZ,1611639522
Sioux Lookout,50.1001,-91.917,-31.0,76,75,1.54,CA,1611639523
Waipawa,-41.4122,175.5153,23.33,53,0,11.32,NZ,1611639524
Vila do Maio,15.1333,-23.2167,20.0,56,0,4.63,CV,1611639525
Brae,60.3964,-1.353,0.0,93,35,3.6,GB,1611639526
Russkiy Aktash,55.0384,52.1214,-4.0,93,90,4.0,RU,1611639527
Kokstad,-30.5472,29.4241,21.6,66,98,1.47,ZA,1611639529
Lucapa,-8.4192,20.7447,17.92,94,98,0.65,AO,1611639530
Birjand,32.8663,59.2211,0.0,19,0,2.06,IR,1611639531
Ingham,42.6,-84.3833,-1.67,86,90,5.14,US,1611639532
Henties Bay,-22.116,14.2845,20.56,89,99,1.39,NA,1611639533
Tilichiki,60.4667,166.1,-18.26,91,96,3.91,RU,1611639534
Doha,25.2867,51.5333,19.0,72,0,2.57,QA,1611638818
Makakilo City,21.3469,-158.0858,21.0,100,75,1.54,US,1611639537
Lorengau,-2.0226,147.2712,29.7,64,66,3.57,PG,1611639538
Anan,33.9167,134.65,14.0,77,75,9.26,JP,1611639539
Synya,65.3718,58.0387,-6.56,98,100,1.85,RU,1611639540
Thanatpin,17.2119,96.3033,31.0,58,0,2.57,MM,1611639541
Altagracia de Orituco,9.8601,-66.3814,20.71,88,95,1.93,VE,1611639542
Anking,30.5092,117.0506,7.71,72,100,1.94,CN,1611639544
Nome,64.5011,-165.4064,-17.0,92,20,0.49,US,1611639545
Lahaina,20.8783,-156.6825,24.0,100,90,2.06,US,1611639546
Hereford,52.0568,-2.7148,1.11,93,100,2.55,GB,1611639547
Orán,-23.1322,-64.326,20.91,94,94,0.84,AR,1611639548
Manuk Mangkaw,4.8,119.85,27.73,76,100,4.47,PH,1611639550
Prainha,-1.8,-53.48,23.23,93,99,1.98,BR,1611639551
Pacific Grove,36.6177,-121.9166,9.0,66,90,6.69,US,1611639552
Tam Ky,15.5667,108.4833,25.0,73,75,3.09,VN,1611639553
Atasū,48.6814,71.6433,-14.7,94,94,1.21,KZ,1611639555
Seshcha,53.7361,33.3387,1.18,97,100,7.74,RU,1611639556
Noril'sk,69.3535,88.2027,-32.47,82,100,3.18,RU,1611639557
Los Teques,10.3445,-67.0433,24.0,64,40,5.66,VE,1611639558
San Cristobal,7.7669,-72.225,17.08,83,68,0.75,VE,1611639559
San Ramon,37.7799,-121.978,7.0,75,20,3.6,US,1611639560
Horta,38.5333,-28.6333,17.04,85,100,11.32,PT,1611639562
Poum,-20.2333,164.0167,27.31,71,100,4.81,NC,1611639563
Sawtell,-30.3833,153.1,31.67,65,0,10.8,AU,1611639564
Seoul,37.5683,126.9778,7.0,81,90,2.06,KR,1611638954
Plettenberg Bay,-34.0527,23.3716,21.91,70,0,3.7,ZA,1611639566
Oranjestad,12.524,-70.027,26.0,78,20,6.69,AW,1611639567
Belmonte,-15.8631,-38.8828,24.0,83,75,1.54,BR,1611639568
Bundaberg,-24.85,152.35,31.0,37,2,5.66,AU,1611639472
Samarinda,-0.5,117.15,34.49,46,96,0.42,ID,1611639571
Zhezkazgan,47.8043,67.7144,-11.77,96,83,1.86,KZ,1611639572
Abonnema,4.7084,6.7931,24.73,87,43,1.09,NG,1611639573
Narok,-1.0783,35.8601,17.08,69,57,2.51,KE,1611639574
Muravlenko,63.7898,74.523,-32.02,86,100,8.59,RU,1611639576
Necochea,-38.5473,-58.7368,16.67,86,3,1.79,AR,1611639577
Talcahuano,-36.7167,-73.1167,15.0,77,0,4.63,CL,1611639578
San-Pédro,4.7485,-6.6363,24.24,92,45,2.47,CI,1611639579
Bismarck,46.8083,-100.7837,-14.0,78,90,4.12,US,1611639580
Pinotepa de Don Luis,16.4167,-97.9167,20.24,74,0,1.52,MX,1611639581
Mīzan Teferī,6.9833,35.5833,23.21,54,14,0.83,ET,1611639583
Bonfim,3.0833,-59.95,24.51,72,49,4.52,BR,1611639584
Oga,46.4631,10.347,-4.44,79,75,1.54,IT,1611639585
Bouca,6.5105,18.2733,22.2,43,79,1.5,CF,1611639586
Bolobo,-2.1667,16.2333,22.7,89,99,1.73,CD,1611639587
Nuuk,64.1835,-51.7216,-7.0,68,75,3.6,GL,1611639412
Baylo,7.8539,126.0581,29.49,68,47,3.82,PH,1611639589
Fuxin,42.0156,121.6589,-1.28,73,0,6.43,CN,1611639591
Chërnaya Kholunitsa,58.8511,51.7154,-4.61,98,100,3.97,RU,1611639592
Havelock,34.8791,-76.9013,9.0,100,90,4.12,US,1611639593
Traverse City,44.7631,-85.6206,-4.44,73,1,2.06,US,1611639594
Champotón,19.35,-90.7167,23.81,81,1,5.8,MX,1611639595
Mandalgovi,45.7625,106.2708,-15.94,78,11,4.48,MN,1611639597
Delémont,47.3649,7.3445,0.56,74,0,3.6,CH,1611639598
Chauk,20.8833,94.8167,29.01,29,0,2.37,MM,1611639599
Kambove,-10.8764,26.5969,16.34,98,100,0.15,CD,1611639600
Tutóia,-2.7619,-42.2744,25.97,86,100,4.31,BR,1611639601
Touros,-5.1989,-35.4608,25.52,81,78,5.33,BR,1611639602
Babati,-4.2167,35.75,19.87,83,100,1.25,TZ,1611639604
Graaff-Reinet,-32.2522,24.5308,26.81,42,0,1.73,ZA,1611639605
Noumea,-22.2763,166.4572,30.0,51,90,4.12,NC,1611639410
Pilot Butte,50.4668,-104.4178,-23.89,70,7,4.12,CA,1611639607
Atar,20.5169,-13.0499,17.69,23,0,3.69,MR,1611639609
Valença do Piauí,-6.4075,-41.7456,22.82,79,100,1.78,BR,1611639610
Natchez,31.5604,-91.4032,17.0,88,90,1.54,US,1611639611
Denpasar,-8.65,115.2167,30.0,74,20,6.17,ID,1611639500
Loikaw,19.6742,97.2094,29.41,22,0,1.62,MM,1611639613
Madaoua,14.073,5.96,15.79,24,65,5.25,NE,1611639615
Malindi,-3.2175,40.1191,27.0,78,40,3.99,KE,1611639616
Along,28.1667,94.7667,24.08,34,42,0.48,IN,1611639617
Bonito,-21.1211,-56.4819,21.17,96,99,1.68,BR,1611639618
Saint Anthony,45.0205,-93.218,-8.89,53,90,5.66,US,1611639619
High Prairie,55.4334,-116.4858,-19.0,78,99,4.63,CA,1611639620
High Rock,26.6208,-78.2833,23.61,84,81,7.39,BS,1611639622
Raudeberg,61.9875,5.1352,1.0,93,40,3.6,NO,1611639623
Kununurra,-15.7667,128.7333,30.0,84,95,3.6,AU,1611639624
Mogadishu,2.0371,45.3438,25.0,69,0,4.12,SO,1611639625
Makkah al Mukarramah,21.4267,39.8261,23.28,60,49,1.39,SA,1611639480
Viedma,-40.8135,-62.9967,17.71,61,0,3.0,AR,1611639628
Tomatlán,19.9333,-105.25,16.83,89,0,0.76,MX,1611639629
Lyuban',52.7985,28.0048,2.8,98,100,4.23,BY,1611639630
Bonavista,48.6499,-53.1147,-0.56,100,100,3.09,CA,1611639631
Hirara,24.8,125.2833,23.0,60,20,3.6,JP,1611639632
Russell,32.3502,-85.1999,21.0,78,90,4.63,US,1611639633
Burns Lake,54.2331,-125.7533,-8.0,86,92,0.88,CA,1611639635
Hakkâri Province,37.5833,44.1667,-24.0,84,40,2.06,TR,1611639636
Marzuq,14.4,46.4667,19.93,21,48,1.22,YE,1611639637
Villaviciosa,43.4813,-5.4357,11.11,77,80,1.97,ES,1611639638
Padang,-0.9492,100.3543,30.0,58,75,2.06,ID,1611639639
Matam,15.6175,-13.3303,19.48,19,0,4.61,SN,1611639640
La Seyne-sur-Mer,43.0982,5.8847,5.0,50,0,1.34,FR,1611639642
Palu,-0.8917,119.8707,30.86,54,71,2.12,ID,1611639643
Tal'menka,53.8183,83.5677,-25.0,70,90,4.0,RU,1611639644
Tamworth,52.634,-1.6959,0.0,93,0,1.03,GB,1611639556
Perth,-31.9333,115.8333,25.56,47,20,6.69,AU,1611638840
Yabrūd,33.9674,36.6574,2.78,80,0,0.28,SY,1611639647
Paraíso,9.8383,-83.8656,21.0,73,0,5.14,CR,1611639649
Verāval,20.9,70.3667,24.6,21,0,3.73,IN,1611639350
Novyy Urgal,51.0736,132.5642,-15.58,91,100,0.24,RU,1611639651
Tongren,27.7172,109.1853,7.44,75,100,1.59,CN,1611639652
